Project,Test Cases,Test,Submissions,Successes,Fails,Errors,Skips,True Positives (Presentation Score),False Positives (Presentation Score),True Negatives (Presentation Score),False Negatives (Presentation Score),Accuracy (Presentation Score),Recall (Presentation Score),Precision (Presentation Score),True Positives (Exam Results),False Positives (Exam Results),True Negatives (Exam Results),False Negatives (Exam Results),Accuracy (Exam Results),Recall (Exam Results),Precision (Exam Results)
APRO_2022_M_5_SA_1_Hotel,Original,Test 01,237,23,3,211,0,19,4,1,2,0.08,0.90,0.83,0,23,3,0,0.01,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 02,237,44,38,155,0,36,8,13,25,0.21,0.59,0.82,0,44,38,0,0.16,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 03,237,64,18,155,0,48,16,5,13,0.22,0.79,0.75,0,64,18,0,0.08,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 04,237,76,7,154,0,57,19,3,4,0.25,0.93,0.75,0,76,7,0,0.03,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 05,237,151,20,66,0,109,42,5,15,0.48,0.88,0.72,0,151,20,0,0.08,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 06,237,46,28,163,0,39,7,10,18,0.21,0.68,0.85,0,46,28,0,0.12,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 07,237,54,20,163,0,40,14,3,17,0.18,0.70,0.74,0,54,20,0,0.08,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 08,237,66,8,163,0,49,17,0,8,0.21,0.86,0.74,0,66,8,0,0.03,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 09,237,20,4,213,0,17,3,1,3,0.08,0.85,0.85,0,20,4,0,0.02,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 10,237,24,0,213,0,20,4,0,0,0.08,1.00,0.83,0,24,0,0,0.00,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 11,237,151,0,86,0,109,42,0,0,0.46,1.00,0.72,0,151,0,0,0.00,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,Original,Test 12,237,19,57,161,0,17,2,14,43,0.13,0.28,0.89,0,19,57,0,0.24,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen,Test 01,237,0,87,150,0,0,0,19,68,0.08,0.00,0.00,0,0,87,0,0.37,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_ChatGPT,Test 01,237,23,73,141,0,20,3,22,51,0.18,0.28,0.87,0,23,73,0,0.31,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V0_Longer_Side_Effect,Test 01,237,47,49,141,0,35,12,13,36,0.20,0.49,0.74,0,47,49,0,0.21,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V1_Export_Functions,Test 01,237,49,159,29,0,33,16,53,106,0.36,0.24,0.67,0,49,159,0,0.67,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V2_Check_and_Get_Function,Test 01,237,81,125,31,0,55,26,38,87,0.39,0.39,0.68,0,81,125,0,0.53,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V3_Check_Class,Test 01,237,81,132,24,0,55,26,40,92,0.40,0.37,0.68,0,81,132,0,0.56,0.00,0.00
APRO_2022_M_5_SA_1_Hotel,APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V4_Try_Catch,Test 01,237,81,156,0,0,55,26,54,102,0.46,0.35,0.68,0,81,156,0,0.66,0.00,0.00
SAMPLE_2023_M_1_Test,Original,Test 01,10,4,4,2,0,2,2,2,2,0.40,0.50,0.50,2,2,3,1,0.50,0.67,0.50
SAMPLE_2023_M_1_Test,Original,Test 02,10,7,3,0,0,4,3,1,2,0.50,0.67,0.57,3,4,2,1,0.50,0.75,0.43
SAMPLE_2023_M_1_Test,Original,Test 03,10,6,4,0,0,4,2,2,2,0.60,0.67,0.67,3,3,3,1,0.60,0.75,0.50
